articleNumber,title,primaryTopic,intent,importance,note
1,Phạm vi điều chỉnh,phạm vi áp dụng,tham khảo pháp lý,2,Điều nền tảng
7,Quyền của doanh nghiệp,quyền doanh nghiệp,vận hành doanh nghiệp,4,
8,Nghĩa vụ của doanh nghiệp,nghĩa vụ doanh nghiệp,tuân thủ pháp luật,4,
11,Chế độ lưu giữ tài liệu,lưu trữ hồ sơ doanh nghiệp,tuân thủ pháp luật,3,
12,Người đại diện theo pháp luật,người đại diện theo pháp luật,quản trị doanh nghiệp,5,Rất hay tra cứu
13,Trách nhiệm người đại diện,trách nhiệm pháp lý,quản trị doanh nghiệp,4,
16,Ngành nghề kinh doanh,ngành nghề kinh doanh,thành lập doanh nghiệp,5,
17,"Quyền thành lập, góp vốn",quyền thành lập doanh nghiệp,thành lập doanh nghiệp,5,
18,Hợp đồng trước đăng ký DN,hợp đồng trước thành lập,thành lập doanh nghiệp,3,
21,Hồ sơ đăng ký công ty TNHH,đăng ký doanh nghiệp,thành lập doanh nghiệp,5,
22,Hồ sơ đăng ký công ty cổ phần,đăng ký doanh nghiệp,thành lập doanh nghiệp,5,
24,Điều lệ công ty,điều lệ công ty,quản trị doanh nghiệp,5,Điều rất quan trọng
25,"Danh sách thành viên, cổ đông","cổ đông, thành viên",quản trị doanh nghiệp,4,
34,Tài sản góp vốn,góp vốn,thành lập doanh nghiệp,5,
35,Chuyển quyền sở hữu vốn góp,góp vốn,thành lập doanh nghiệp,4,
36,Định giá tài sản góp vốn,định giá tài sản,góp vốn,4,
37,Tên doanh nghiệp,tên doanh nghiệp,thành lập doanh nghiệp,5,
38,Trụ sở chính,trụ sở doanh nghiệp,thành lập doanh nghiệp,4,
41,"Tên trùng, gây nhầm lẫn",đặt tên doanh nghiệp,thành lập doanh nghiệp,4,
46,Con dấu doanh nghiệp,con dấu doanh nghiệp,vận hành doanh nghiệp,4,
47,"Chi nhánh, VPĐD",chi nhánh – văn phòng đại diện,mở rộng kinh doanh,4,
54,Cơ cấu tổ chức CTCP,cơ cấu tổ chức,quản trị doanh nghiệp,4,
59,Quyền cổ đông phổ thông,quyền cổ đông,quản trị doanh nghiệp,5,
60,Nghĩa vụ cổ đông,nghĩa vụ cổ đông,quản trị doanh nghiệp,4,
110,Hội đồng quản trị,hội đồng quản trị,quản trị doanh nghiệp,5,
115,Quyền và nghĩa vụ HĐQT,hội đồng quản trị,quản trị doanh nghiệp,4,
134,Giám đốc/Tổng giám đốc,giám đốc – tổng giám đốc,điều hành doanh nghiệp,5,
138,Đại hội đồng cổ đông,đại hội đồng cổ đông,quản trị doanh nghiệp,5,
139,Thẩm quyền ĐHĐCĐ,đại hội đồng cổ đông,quản trị doanh nghiệp,4,
153,Giao dịch có liên quan,giao dịch có liên quan,quản trị rủi ro,5,
165,"Hợp đồng, giao dịch vô hiệu",giao dịch vô hiệu,xử lý rủi ro,4,
188,Chia doanh nghiệp,chia doanh nghiệp,tổ chức lại doanh nghiệp,4,
189,Tách doanh nghiệp,tách doanh nghiệp,tổ chức lại doanh nghiệp,4,
195,Hợp nhất doanh nghiệp,hợp nhất doanh nghiệp,tổ chức lại doanh nghiệp,4,
196,Sáp nhập doanh nghiệp,sáp nhập doanh nghiệp,tổ chức lại doanh nghiệp,5,
207,Giải thể doanh nghiệp,giải thể doanh nghiệp,chấm dứt hoạt động,5,Điều ROI cao nhất
208,Trình tự giải thể,thủ tục giải thể,chấm dứt hoạt động,5,
209,Trách nhiệm khi giải thể,trách nhiệm pháp lý,giải thể,4,
212,Phá sản,phá sản,chấm dứt hoạt động,4,
216,Trách nhiệm quản lý,trách nhiệm pháp lý,quản trị doanh nghiệp,4,
219,Xử lý vi phạm,xử phạt vi phạm,tuân thủ pháp luật,4,
221,Giải quyết tranh chấp,tranh chấp doanh nghiệp,giải quyết tranh chấp,4,
